id,city_name,region_name
511,Лахденпохья,Карелия
512,Лебедянь,Липецкая область
513,Лениногорск,Татарстан
514,Ленинск,Волгоградская область
515,Ленинск-Кузнецкий,Кемеровская область
516,Ленск,Якутия
517,Лермонтов,Ставропольский край
518,Лесной,Свердловская область
519,Лесозаводск,Приморский край
520,Лесосибирск,Красноярский край
521,Ливны,Орловская область
522,Ликино-Дулёво,Московская область
523,Липецк,Липецкая область
524,Липки,Тульская область
525,Лиски,Воронежская область
526,Лихославль,Тверская область
527,Лобня,Московская область
528,Лодейное Поле,Ленинградская область
529,Лосино-Петровский,Московская область
530,Луга,Ленинградская область
531,Луза,Кировская область
532,Лукоянов,Нижегородская область
533,Луховицы,Московская область
534,Лысково,Нижегородская область
535,Лысьва,Пермский край
536,Лыткарино,Московская область
537,Льгов,Курская область
538,Любань,Ленинградская область
539,Люберцы,Московская область
540,Любим,Ярославская область
541,Людиново,Калужская область
542,Лянтор,Ханты-Мансийский АО
543,Магадан,Магаданская область
544,Магас,Ингушетия
545,Магнитогорск,Челябинская область
546,Майкоп,Адыгея
547,Майский,Кабардино-Балкария
548,Макаров,Сахалинская область
549,Макарьев,Костромская область
550,Макушино,Курганская область
551,Малая Вишера,Новгородская область
552,Малгобек,Ингушетия
553,Малмыж,Кировская область
554,Малоархангельск,Орловская область
555,Малоярославец,Калужская область
556,Мамадыш,Татарстан
557,Мамоново,Калининградская область
558,Мантурово,Костромская область
559,Мариинск,Кемеровская область
560,Мариинский Посад,Чувашия
561,Маркс,Саратовская область
562,Махачкала,Дагестан
563,Мглин,Брянская область
564,Мегион,Ханты-Мансийский АО
565,Медвежьегорск,Карелия
566,Медногорск,Оренбургская область
567,Медынь,Калужская область
568,Межгорье,Башкортостан
569,Междуреченск,Кемеровская область
570,Мезень,Архангельская область
571,Меленки,Владимирская область
572,Мелеуз,Башкортостан
573,Менделеевск,Татарстан
574,Мензелинск,Татарстан
575,Мещовск,Калужская область
576,Миасс,Челябинская область
577,Микунь,Коми
578,Миллерово,Ростовская область
579,Минеральные Воды,Ставропольский край
580,Минусинск,Красноярский край
581,Миньяр,Челябинская область
582,Мирный,Якутия
583,Мирный,Архангельская область
584,Михайлов,Рязанская область
585,Михайловка,Волгоградская область
586,Михайловск,Свердловская область
587,Михайловск,Ставропольский край
588,Мичуринск,Тамбовская область
589,Могоча,Забайкальский край
590,Можайск,Московская область
591,Можга,Удмуртия
592,Моздок,Северная Осетия
593,Мончегорск,Мурманская область
594,Морозовск,Ростовская область
595,Моршанск,Тамбовская область
596,Мосальск,Калужская область
597,Москва,Москва
598,Муравленко,Ямало-Ненецкий АО
599,Мураши,Кировская область
600,Мурино,Ленинградская область
601,Мурманск,Мурманская область
602,Муром,Владимирская область
603,Мценск,Орловская область
604,Мыски,Кемеровская область
605,Мытищи,Московская область
606,Мышкин,Ярославская область
607,Набережные Челны,Татарстан
608,Навашино,Нижегородская область
609,Наволоки,Ивановская область
610,Надым,Ямало-Ненецкий АО
611,Назарово,Красноярский край
612,Назрань,Ингушетия
613,Называевск,Омская область
614,Нальчик,Кабардино-Балкария
615,Нариманов,Астраханская область
616,Наро-Фоминск,Московская область
617,Нарткала,Кабардино-Балкария
618,Нарьян-Мар,Ненецкий АО
619,Наурская,Чечня
620,Находка,Приморский край
621,Невель,Псковская область
622,Невельск,Сахалинская область
623,Невинномысск,Ставропольский край
624,Невьянск,Свердловская область
625,Нелидово,Тверская область
626,Неман,Калининградская область
627,Нерехта,Костромская область
628,Нерчинск,Забайкальский край
629,Нерюнгри,Якутия
630,Нестеров,Калининградская область
631,Нефтегорск,Самарская область
632,Нефтекамск,Башкортостан
633,Нефтекумск,Ставропольский край
634,Нефтеюганск,Ханты-Мансийский АО
635,Нея,Костромская область
636,Нижневартовск,Ханты-Мансийский АО
637,Нижнекамск,Татарстан
638,Нижнеудинск,Иркутская область
639,Нижние Серги,Свердловская область
640,Нижний Ломов,Пензенская область
641,Нижний Новгород,Нижегородская область
642,Нижний Тагил,Свердловская область
